Unnamed: 0,id,text,url,processed_gpe,predicted_model,string_matches,predicted_country,heirarchical_without_sm_geonames,more_flag_h,mixtral_spacy,heirarchical_without_sm_geonames_1,mixtral,svm,svm_1,local_path
906690,00123.jsonl.gz-7290717,Tablet With Afghanistan Flag,https://static1.bigstockphoto.com/thumbs/8/6/9/large2/96876806.jpg,Tablet,sm,{},,no,False,no,no,afghanistan,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00123.jsonl.gz-7290717.jpg
826199,00079.jsonl.gz-7153420,Twenty-year mission of the Italian regiment in Afghanistan comes to an end: the flag is lowered in Herat,https://st.ilfattoquotidiano.it/wp-content/uploads/2021/06/08/herat-1-330x173.jpg,Afghanistan,sm,{'country': 'afghanistan'},afghanistan,afghanistan,False,afghanistan,no,afghanistan,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00079.jsonl.gz-7153420.jpg
390269,00118.jsonl.gz-5210083,"The American flag reflects in the glasses of an U.S. Army officer as he reenlists as a paratrooper on Combat Outpost Qara Baugh in Afghanistan's Ghazni province, April 22, 2012. The soldier is assigned to the 82nd Airborne Division's 1st Brigade Combat Te",https://ploughshares.org/sites/default/files/styles/articleheader-2000x760/public/article/media/header/2000x760_wiki-US-Army-photo.jpg?itok=0rzpjodt,Afghanistan_Ghazni province,sm,{'country': 'afghanistan'},afghanistan,afghanistan,False,afghanistan,no,afghanistan,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00118.jsonl.gz-5210083.jpg
910235,00088.jsonl.gz-13344379,Albania-embroidery-flag-Patch-Badge-US-Army-Tactical-Combat-Emblem-Applique-sticker-Morale-Military-Patches (1),https://ae01.alicdn.com/kf/H8e607d8113fa42b687ff76e9b02546d6O.jpg,Albania,sm,{'country': 'albania'},albania,italy_colombia_mexico_albania_costa rica_honduras,True,albania,Italy_Honduras_Mexico_Costa Rica_Colombia,albania,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00088.jsonl.gz-13344379.jpg
331750,00075.jsonl.gz-4736333,illustration festive banner with state flag of The Republic of Albania. Card with flag and coat of arms Happy Republic of Albania Day 2019. picture banner november 28 of foundation day,https://image.shutterstock.com/image-vector/illustration-festive-banner-state-flag-260nw-1205692060.jpg,The Republic of Albania_Happy Republic of Albania Day 2019,sm,{},,no,False,no,no,albania,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00075.jsonl.gz-4736333.jpg
994555,00032.jsonl.gz-9703774,ALBANIA COUNTRY FLAG  METALLIC BUMPER STICKER DECAL .. 4 X 3 INCH,https://thumbs.ebaystatic.com/images/g/dDEAAOSw1DtXKkS0/s-l225.jpg,ALBANIA,trf,{'country': 'albania'},albania,italy_colombia_mexico_albania_costa rica_honduras,True,albania,Italy_Honduras_Mexico_Costa Rica_Colombia,albania,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00032.jsonl.gz-9703774.jpg
283656,00088.jsonl.gz-7489227,Flag of Algeria by Rich Anderson,"https://ih0.redbubble.net/image.608086651.5145/flat,140x140,075,t.u3.jpg",algeria,,{'country': 'algeria'},algeria,algeria_philippines,False,algeria,Philippines,algeria,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00088.jsonl.gz-7489227.jpg
67433,00088.jsonl.gz-15243950,"доля : Waving flag of Algeria, seamless loop. Exact size, blue background. Part of all countries set. 4K ProRes with alpha.",https://vidcdn.123rf.com/450nwm/moovstock/moovstock1606/moovstock160602064.jpg,Algeria,sm,{'country': 'algeria'},algeria,algeria_philippines,False,algeria,Philippines,algeria,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00088.jsonl.gz-15243950.jpg
147541,00016.jsonl.gz-2651415,Algerian protesters parade a national flag showing the country still in the grip of key allies of Abdelaziz Bouteflika after the ailing president quit on Tuesday. By Ryad KRAMDI (AFP),https://cdn.modernghana.com/thumb/XGltYWdlc1xjb250ZW50XGFmcF9hbGdlcmlhbl9wcm90ZXN0ZXJzX3BhcmFkZV9hX25hdGlvbmFsX2ZsYWdfc2hvd2luZ190aGVfY291bnQuanBnfDMwMHw0LzQvMjAyMA==.jpg,protesters abdelaziz bouteflika tuesday. ryad kramdi (afp),,{},,no,False,no,no,algeria,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00016.jsonl.gz-2651415.jpg
481300,00053.jsonl.gz-9176096,"Front row, standing on stage at Veterans Memorial Stadium during the raising of the United States and American Samoa flags at Monday's 2017 Flag Day ceremony. [l-r] Catholic Deacon  Malaki A. Timu o le the Holy Family Parish Fatuoaiga, Chief Justice Michael Kruse and Masiofo Filifilia Tamasese with Samoa Head of State Tui Atua Tupua Tamasese Efi, who delivered the Flag Day keynote speech. [photo: AF] 0771",https://www.samoanews.com/sites/default/files/styles/teaser/public/field/image/Flag%20Day%20n%20Tui%20Atua_0772.jpg?itok=tnx44a1Z,the United States,sm,{},,no,False,no,no,american samoa,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00053.jsonl.gz-9176096.jpg
684647,00071.jsonl.gz-3650701,American Samoa Flag Hooded Sweatshirt,http://i1.cpcache.com/product/638569664/american_samoa_flag_hooded_sweatshirt.jpg?color=White&height=150&width=150,samoa sweatshirt,,{'country': 'samoa'},samoa,no,False,no,no,american samoa,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00071.jsonl.gz-3650701.jpg
935632,00102.jsonl.gz-11069147,Sui Palauni of American Samoa (left) won the vacant light heavy weight All Samoan Championship Title against Michael Fonoti of Samoa by technical decision during the Flag Day 2017 Championship that was for the Governor's Cup and championship title last Saturday night at the old Bowling Alley in Tafuna. [photo: AF],https://www.samoanews.com/sites/default/files/styles/teaser/public/field/image/Sui%20Palauni_0664.jpg?itok=h0GXBij4,Tafuna,sm,{},,sierra leone_zimbabwe_tonga,True,american samoa,Tonga_Sierra Leone_Zimbabwe,american samoa,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00102.jsonl.gz-11069147.jpg
781583,00050.jsonl.gz-6849918,Andorran Oval Flag Mousepad,http://i1.cpcache.com/product/75699169/andorran_oval_flag_mousepad.jpg?height=225&amp;width=225,mousepad,,{},,no,False,no,no,andorra,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00050.jsonl.gz-6849918.jpg
129120,00097.jsonl.gz-1769158,"andorra, country, flag, flags, location, national, world icon",https://cdn0.iconfinder.com/data/icons/flags-set-volume-3/110/flags_50-512.png,andorra,trf,{'country': 'andorra'},andorra,peru_spain_cuba_france_colombia_united states_andorra,True,andorra,Spain_Peru_United States_Colombia_France_Cuba,andorra,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00097.jsonl.gz-1769158.jpg
658390,00031.jsonl.gz-15169526,White Flag — Andale',https://avatars.yandex.net/get-music-content/33216/e2c0a8df.a.2386780-1/200x200,— andale',,{},,united states_eritrea,False,andorra,United States_Eritrea,andorra,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00031.jsonl.gz-15169526.jpg
606418,00001.jsonl.gz-17017214,Angola flag Animation,https://d31l02nbp0owar.cloudfront.net/m/t/168/1673454/a-0288.jpg,,,{'country': 'angola'},angola,"central african republic_peru_bonaire, sint eustatius and saba_brazil_colombia_angola_côte d'ivoire_uganda_united states_bolivia, plurinational state of",False,angola,"Bolivia, Plurinational State of_Côte d'Ivoire_Peru_Bonaire, Sint Eustatius and Saba_Uganda_United States_Brazil_Colombia_Central African Republic",angola,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00001.jsonl.gz-17017214.jpg
79931,00002.jsonl.gz-16855139,photo of angola flag vector image vector image,https://cdn4.vectorstock.com/i/thumbs/51/48/photo-of-angola-flag-vector-19115148.jpg,,,{},,no,False,no,no,angola,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00002.jsonl.gz-16855139.jpg
638495,00078.jsonl.gz-16259689,Angola Flag Phone Case & Tablet Cases Flagdesignproducts.com,https://cdn.shopify.com/s/files/1/3010/8462/products/32e032a8-bf5f-4851-81ea-5d6d9296b0ab_300x300.jpg?v=1523719132,& cases flagdesignproducts.com,,{},,no,False,no,no,angola,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00078.jsonl.gz-16259689.jpg
72876,00116.jsonl.gz-10437281,Antigua and Barbuda Flag Green T-Shirt,http://i1.cpcache.com/product/638158882/antigua_and_barbuda_flag_green_tshirt.jpg?color=Green&height=150&width=150,Antigua_Barbuda,trf,"{'country': 'spain', 'location': 'antigua'}",spain,australia_mexico_antigua and barbuda_spain,True,antigua and barbuda,Spain_Antigua and Barbuda_Australia_Mexico,antigua and barbuda,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00116.jsonl.gz-10437281.jpg
207795,00082.jsonl.gz-11349774,Antigua and Barbuda flag button vector image,https://cdn.vectorstock.com/i/thumb-large/05/78/antigua-and-barbuda-flag-button-vector-6010578.jpg,Antigua_Barbuda,trf,"{'country': 'spain', 'location': 'antigua'}",spain,australia_mexico_antigua and barbuda_spain,True,antigua and barbuda,Spain_Antigua and Barbuda_Australia_Mexico,antigua and barbuda,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00082.jsonl.gz-11349774.jpg
155211,00125.jsonl.gz-15019672,Antigua and Barbuda Flag Oval Sticker,http://rlv.zcache.ca/antigua_and_barbuda_flag_oval_sticker-rda260ca04b5148b5bf07c4cd6c4c0670_v9wz7_8byvr_324.jpg,Antigua_Barbuda,trf,"{'country': 'spain', 'location': 'antigua'}",spain,australia_mexico_antigua and barbuda_spain,True,antigua and barbuda,Spain_Antigua and Barbuda_Australia_Mexico,antigua and barbuda,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00125.jsonl.gz-15019672.jpg
570069,00045.jsonl.gz-16135424,Argentinian flag with burning cigarette in ashtray isolated on black Stock Image,https://thumbs.dreamstime.com/t/argentinian-flag-burning-cigarette-ashtray-isolated-black-background-96932341.jpg,ashtray,,{},,no,False,no,no,argentina,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00045.jsonl.gz-16135424.jpg
923110,00121.jsonl.gz-17726794,Waving Fabric Argentina Flag Baby Bodysuit Apparel Flagdesignproducts.com,https://cdn.shopify.com/s/files/1/3010/8462/products/b84ea2c1-eab7-4d34-980f-7c204c91f7ba_300x300.jpg?v=1523888676,Argentina,trf,{'country': 'argentina'},argentina,italy_cuba_chile_colombia_brazil_mexico_argentina_south africa_costa rica_guatemala,True,argentina,South Africa_Guatemala_Chile_Italy_Mexico_Argentina_Brazil_Costa Rica_Colombia_Cuba,argentina,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00121.jsonl.gz-17726794.jpg
707383,00037.jsonl.gz-4512731,Argentina Flag Wallpapers,https://fondosmil.com/fondo/12796.jpg,Argentina,trf,{'country': 'argentina'},argentina,italy_cuba_chile_colombia_brazil_mexico_argentina_south africa_costa rica_guatemala,True,argentina,South Africa_Guatemala_Chile_Italy_Mexico_Argentina_Brazil_Costa Rica_Colombia_Cuba,argentina,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00037.jsonl.gz-4512731.jpg
90406,00124.jsonl.gz-3050202,Gerbera daisy flower in colors national flag of armenia on whi — Stock Photo,http://st.depositphotos.com/1134991/2481/i/170/depositphotos_24811365-gerbera-daisy-flower-in-colors-national-flag-of-armenia-on-whi.jpg,armenia on whi,trf,{'country': 'armenia'},armenia,no,False,no,no,armenia,1,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/flag_region_balanced_images/00124.jsonl.gz-3050202.jpg
